uei,start,end,state,location,deaths
UEI-IMD-FL-2016-0113,2016-08-06,2016-08-20,Rajasthan,,11.0
UEI-IMD-FL-2016-0112,2016-08-09,2016-08-13,Rajasthan,,
UEI-IMD-FL-2016-0046,2016-08-10,2016-08-12,Himachal Pradesh,,1.0
UEI-IMD-FL-2016-0025,2016-08-12,2016-08-12,Bihar,,
UEI-IMD-FL-2016-0057,2016-08-12,2016-08-12,Jharkhand,,4.0
UEI-IMD-FL-2016-0020,2016-08-13,2016-08-13,Assam,,2.0
UEI-IMD-FL-2016-0125,2016-08-16,2016-08-16,Uttar Pradesh,,8.0
UEI-IMD-FL-2016-0026,2016-08-17,2016-08-21,Bihar,,9.0
UEI-IMD-FL-2016-0047,2016-08-17,2016-08-18,Himachal Pradesh,,2.0
UEI-IMD-FL-2016-0134,2016-08-17,2016-08-17,West Bengal,,3.0
UEI-IMD-FL-2016-0072,2016-08-18,2016-08-18,Karnataka,,
UEI-IMD-FL-2016-0035,2016-08-19,2016-08-19,Chhattisgarh,,5.0
UEI-IMD-FL-2016-0090,2016-08-19,2016-08-20,Madhya Pradesh,,23.0
UEI-IMD-FL-2016-0059,2016-08-22,2016-08-23,Jharkhand,,
UEI-IMD-FL-2016-0027,2016-08-23,2016-08-25,Bihar,,
UEI-IMD-FL-2016-0135,2016-08-23,2016-08-29,West Bengal,,5.0
UEI-IMD-FL-2016-0054,2016-08-24,2016-08-24,Jammu and Kashmir,,3.0
UEI-IMD-FL-2016-0048,2016-08-25,2016-08-26,Himachal Pradesh,,5.0
UEI-IMD-FL-2016-0036,2016-08-26,2016-08-31,Chhattisgarh,,6.0
UEI-IMD-FL-2016-0028,2016-08-28,2016-08-28,Bihar,,
UEI-IMD-FL-2016-0029,2016-08-30,2016-08-30,Bihar,,
UEI-IMD-FL-2016-0118,2016-08-31,2016-08-31,Telangana,,
UEI-IMD-FL-2016-0003,2016-09-01,2016-09-30,Andhra Pradesh,,20.0
UEI-IMD-FL-2016-0021,2016-09-01,2016-09-07,Assam,,
UEI-IMD-FL-2016-0030,2016-09-01,2016-09-02,Bihar,,11.0
UEI-IMD-FL-2016-0119,2016-09-01,2016-09-30,Telangana,,49.0
UEI-IMD-FL-2016-0031,2016-09-03,2016-09-03,Bihar,,19.0
UEI-IMD-FL-2016-0060,2016-09-09,2016-09-12,Jharkhand,,1.0
UEI-IMD-FL-2016-0008,2016-09-11,2016-09-12,Arunachal Pradesh,,
UEI-IMD-FL-2016-0037,2016-09-11,2016-09-13,Chhattisgarh,,4.0
UEI-IMD-FL-2016-0022,2016-09-13,2016-09-16,Assam,,
UEI-IMD-FL-2016-0002,2016-09-15,2016-09-16,Andhra Pradesh,,
UEI-IMD-FL-2016-0073,2016-09-15,2016-09-16,Karnataka,,
UEI-IMD-FL-2016-0058,2016-09-16,2016-09-18,Jharkhand,,9.0
UEI-IMD-FL-2016-0084,2016-09-18,2016-09-18,Kerala,,6.0
UEI-IMD-FL-2016-0107,2016-09-18,2016-09-18,Mizoram,,5.0
UEI-IMD-FL-2016-0074,2016-09-22,2016-09-26,Karnataka,,
UEI-IMD-FL-2016-0104,2016-09-24,2016-09-26,Maharashtra,,2.0
UEI-IMD-FL-2016-0105,2016-10-02,2016-10-04,Maharashtra,,
UEI-IMD-FL-2016-0061,2016-10-09,2016-10-09,Jharkhand,,1.0
UEI-IMD-FL-2016-0114,2016-11-22,2016-11-30,Rajasthan,,
UEI-IMD-FL-2016-0075,2016-12-13,2016-12-14,Karnataka,,
UEI-IMD-FL-2017-0021,2017-01-06,2017-09-30,Gujarat,,288.0
UEI-IMD-FL-2017-0093,2017-02-06,2017-02-06,Nagaland,,2.0
UEI-IMD-FL-2017-0112,2017-02-06,2017-02-06,Tripura,,
UEI-IMD-FL-2017-0002,2017-02-22,2017-02-22,Assam,,3.0
UEI-IMD-FL-2017-0078,2017-03-05,2017-03-05,Maharashtra,,1.0
UEI-IMD-FL-2017-0065,2017-03-15,2017-03-16,Kerala,,
UEI-IMD-FL-2017-0110,2017-03-17,2017-03-17,Telangana,,
UEI-IMD-FL-2017-0003,2017-03-31,2017-03-31,Assam,,1.0
UEI-IMD-FL-2017-0004,2017-04-01,2017-04-02,Assam,,
UEI-IMD-FL-2017-0113,2017-04-06,2017-04-06,Tripura,,5.0
UEI-IMD-FL-2017-0033,2017-04-22,2017-04-22,Jammu & Kashmir,,2.0
UEI-IMD-FL-2017-0013,2017-05-09,2017-05-09,Bihar,,15.0
UEI-IMD-FL-2017-0040,2017-05-10,2017-05-10,Karnataka,,
UEI-IMD-FL-2017-0041,2017-05-18,2017-05-18,Karnataka,,
UEI-IMD-FL-2017-0120,2017-05-20,2017-05-20,Uttarakhand,,13.0
UEI-IMD-FL-2017-0096,2017-05-23,2017-05-23,Rajasthan,,1.0
